Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI NEW (°),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.6.0-28208][2021 USDM WRX MT CCF Gen2][Reflash: Stage1+BigSF 93 v400.ptm - Realtime: Stage1+BigSF 93 v400.ptm]"
0.000,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.84,-9.21,-9.23,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,407.6,437.9,0,0.0,6.50,0.97,1.507,265.0,150.8,147.2,4.03,1.02,5.44,202.1,773,0.00,3.08,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.055,on,0.78,0.00,12.50,-5.47,14.63,0,-1,0.0,14.65,13.68,-9.17,-9.20,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,382.7,437.9,0,0.0,6.50,0.99,1.542,265.0,150.8,147.2,4.06,1.02,5.47,201.9,770,0.00,3.05,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.082,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.60,-9.13,-9.16,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,369.6,437.9,0,0.0,7.00,0.99,1.542,265.0,150.8,147.2,4.08,1.00,5.52,201.9,767,0.00,3.01,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.161,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.76,-9.11,-9.11,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,7.00,0.99,1.542,265.0,150.8,147.2,4.10,0.98,5.54,201.9,770,0.00,2.98,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.226,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.68,-9.06,-9.08,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,401.1,437.9,0,0.0,7.00,1.01,1.574,265.0,150.8,147.2,4.13,1.00,5.59,201.9,769,0.00,2.95,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.282,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.84,-9.04,-9.07,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,384.6,437.9,0,0.0,7.00,1.01,1.574,265.0,150.8,147.2,4.15,1.00,5.61,201.9,771,0.00,2.92,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.360,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.01,-9.04,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,415.3,437.9,0,0.0,7.00,1.02,1.584,265.0,150.8,147.2,4.16,0.98,5.64,201.9,771,0.00,2.89,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.447,on,0.78,0.00,12.50,-5.47,14.66,0,-1,0.0,14.65,13.76,-9.00,-9.02,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.50,1.02,1.584,265.0,150.8,147.2,4.16,1.00,5.64,201.9,775,0.00,2.89,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.502,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.01,-9.02,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,414.0,437.9,0,0.0,6.50,1.02,1.568,265.0,150.8,147.2,4.16,0.98,5.64,201.9,777,0.00,2.89,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
0.584,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.02,-9.05,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,407.6,437.9,0,0.0,6.50,1.02,1.568,265.0,150.8,147.2,4.15,0.98,5.63,201.9,781,0.00,2.90,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
0.653,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.84,-9.05,-9.06,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.8,437.9,0,0.0,6.50,1.01,1.542,265.0,150.8,147.2,4.13,0.90,5.60,202.1,784,0.00,2.92,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
0.732,on,0.78,0.00,12.50,-5.47,14.66,0,-1,0.0,14.65,13.76,-9.09,-9.10,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,403.4,437.9,0,0.0,6.00,1.01,1.542,265.0,150.8,147.2,4.11,0.96,5.56,202.1,787,0.00,2.95,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
0.824,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.12,-9.13,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,390.5,437.9,0,0.0,6.00,1.01,1.542,265.0,150.8,147.2,4.09,1.00,5.53,202.1,787,0.00,2.99,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
0.882,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.92,-9.16,-9.16,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.00,1.01,1.542,265.0,150.8,147.2,4.06,0.98,5.48,202.1,786,0.00,3.03,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
0.960,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.19,-9.20,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,388.3,437.9,0,0.0,6.00,0.99,1.507,265.0,150.8,147.2,4.05,0.96,5.46,202.1,785,0.00,3.06,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
1.015,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.84,-9.21,-9.23,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,406.5,437.9,0,0.0,6.00,0.98,1.507,265.0,150.8,147.2,4.04,0.98,5.44,202.1,783,0.00,3.07,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.090,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.76,-9.21,-9.22,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,393.7,437.9,0,0.0,6.00,0.99,1.520,265.0,152.6,147.2,4.04,1.04,5.44,202.1,781,0.00,3.07,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.166,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.76,-9.21,-9.22,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,378.8,437.9,0,0.0,6.50,0.98,1.520,265.0,150.8,147.2,4.02,0.98,5.44,202.1,775,0.00,3.07,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.233,on,0.78,0.00,12.50,-5.47,14.63,0,-1,0.0,14.65,13.84,-9.19,-9.20,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.50,0.99,1.533,265.0,150.8,147.2,4.05,1.02,5.46,202.1,777,0.00,3.05,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.292,on,0.78,0.00,12.50,-5.47,14.64,0,-1,0.0,14.65,13.76,-9.16,-9.18,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,396.9,437.9,0,0.0,6.50,0.99,1.533,265.0,150.8,147.2,4.05,1.02,5.49,201.9,772,0.00,3.04,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
